,id,category,sub category,product,price,organic,vegetarian,vegan,gluten free,lactose free,beter leven,unit,weight,calories,ingredients
17,17,"Cooking, dining, leisure","Living, sleeping",Gouda Waxinelichten helder kaarslicht 8 uur,6.99,,,,,,,30 stuks,30 Stuks (piece),,
18,18,"Cooking, dining, leisure","Living, sleeping",Bolsius Rustieke kaars ivoor 19cm,4.49,,,,,,,per stuk,1 Stuks (piece),,
19,19,"Cooking, dining, leisure","Living, sleeping",Bolsius Rustieke kaars olijfgroen 8cm,2.79,,,,,,,per stuk,1 Stuks (piece),,
20,20,"Cooking, dining, leisure","Living, sleeping",AH Dinerkaars wit 8 branduren,3.99,,,,,,,10 stuks,10 Aantal,,Waarschuwing: verpakking verwijderen voor gebruik.
21,21,"Cooking, dining, leisure","Living, sleeping",Bolsius Rustieke kaars shimmer goud 13cm,3.89,,,,,,,per stuk,1 Stuks (piece),,
22,22,"Cooking, dining, leisure","Living, sleeping",Bolsius True scents geurtheelichten vanille,2.99,,,,,,,18 stuks,18 Stuks (piece),,Buiten het bereik van kinderen houden
23,23,"Cooking, dining, leisure","Living, sleeping",Bolsius Dinerkaars rustiek olijfgroen 27cm,1.19,,,,,,,per stuk,1 Stuks (piece),,
24,24,"Cooking, dining, leisure","Living, sleeping",Avec Spiraalkaarsen goud,1.79,,,,,,,2 stuks,2 Stuks,,
25,25,"Cooking, dining, leisure","Living, sleeping",Bolsius Rustieke kaars olijfgroen 13cm,3.89,,,,,,,per stuk,1 Stuks (piece),,
26,26,"Cooking, dining, leisure","Living, sleeping",Bolsius True scents geurtheelichten oud wood,2.99,,,,,,,18 stuks,18 Stuks (piece),,Buiten het bereik van kinderen houden
27,27,"Cooking, dining, leisure","Living, sleeping",Bolsius Rustieke kaars shimmer goud 8cm,2.79,,,,,,,per stuk,1 Stuks (piece),,
28,28,"Cooking, dining, leisure","Living, sleeping",Farmlight Lampolie helder,2.99,,,,,,,"1 lPrijs per LT € 2,99",1 Liter,,"Lampolie alleen
gebruiken in daarvoor bedoelde lampen."
29,29,"Cooking, dining, leisure","Living, sleeping",Bolsius Rustieke kaars ivoor 8cm,2.79,,,,,,,per stuk,1 Stuks (piece),,
30,30,"Cooking, dining, leisure","Living, sleeping",Bolsius True scents geurtheelichten appel kaneel,2.99,,,,,,,18 stuks,18 Stuks (piece),,
31,31,"Cooking, dining, leisure","Living, sleeping",Bolsius Rustieke kaars ivoor 13cm,3.89,,,,,,,per stuk,1 Stuks (piece),,
32,32,"Cooking, dining, leisure","Living, sleeping",AH Dinerkaars ivoor 8 branduren,3.99,,,,,,,10 stuks,10 Aantal,,Warning symbool: driehoek met uitroepteken
33,33,"Cooking, dining, leisure","Living, sleeping",Bio Haardblok,3.79,,,,,,,2 kg,2890 Centimeter,,
34,34,"Cooking, dining, leisure","Living, sleeping",AH Theelichten maxi,2.79,,,,,,,12 stuks,12 Stuks (piece),,
35,35,"Cooking, dining, leisure","Living, sleeping",Bolsius Waxinelichtjes 6 branduren,7.49,,,,,,,60 stuks,60 Stuks (piece),,
36,36,"Cooking, dining, leisure","Living, sleeping",Bolsius Maxi waxinelichtjes 10 branduren,7.49,,,,,,,14 stuks,14 Stuks (piece),,
37,37,"Cooking, dining, leisure","Living, sleeping",Bolsius Waxinelichtjes 8 branduren,7.49,,,,,,,45 stuks,45 Stuks (piece),,
38,38,"Cooking, dining, leisure","Living, sleeping",AH Theelichten 8 branduren,4.99,,,,,,,40 stuks,40 Stuks (piece),,
39,39,"Cooking, dining, leisure","Living, sleeping",AH Haardblok,1.99,,,,,,,per stuk,1.1 Kilogram,,leg het haardblok in de open haard met de naam haardblok naar beneden. Verpakking niet openen. Uiteinden van de verpakking uittrekken en aan beide uiteinden en in het midden aansteken.
40,40,"Cooking, dining, leisure","Party, occasion",AH Cocktail prikker,1.19,,,,,,,8 stuks,8 Aantal,,Geproduceerd in: China
41,41,"Cooking, dining, leisure","Party, occasion",AH Uitdeelzakje happy,1.55,,,,,,,8 stuks,8 Stuks (piece),,
42,42,"Cooking, dining, leisure","Party, occasion",AH Cocktailprikkers rvs,2.99,,,,,,,10 stuks,10 Stuks (piece),,
43,43,"Cooking, dining, leisure","Party, occasion",AH Beker blad,1.99,,,,,,,12 stuks,12 Aantal,,
44,44,"Cooking, dining, leisure","Party, occasion",AH Bord jungle 22cm,1.99,,,,,,,10 stuks,10 Aantal,,Niet geschikt voor fruitzuren.
45,45,"Cooking, dining, leisure","Party, occasion",AH Lepel karton,3.19,,,,,,,12 stuks,12 Aantal,,
46,46,"Cooking, dining, leisure","Party, occasion",AH Kaarsjes,0.99,,,,,,,24 stuks,24 Stuks (piece),,
47,47,"Cooking, dining, leisure","Party, occasion",AH Vlaggenlijn 6 meter,0.99,,,,,,,per stuk,1 Aantal,,
48,48,"Cooking, dining, leisure","Party, occasion",AH Cocktailprikker,1.29,,,,,,,8 stuks,8 Stuks (piece),,
49,49,"Cooking, dining, leisure","Party, occasion",AH Bord blad 22cm,1.99,,,,,,,10 stuks,10 Aantal,,
50,50,"Cooking, dining, leisure","Party, occasion",Hoomark Wijnfleszak,0.99,,,,,,,per stuk,1 Stuks,,
51,51,"Cooking, dining, leisure","Party, occasion",AH Bord blad 15cm,1.29,,,,,,,10 stuks,10 Aantal,,
52,52,"Cooking, dining, leisure","Party, occasion",AH Ballonnen gekleurd,2.59,,,,,,,50 stuks,50 Aantal,,Voor kinderen jonger dan 8 jaar bestaat gevaar voor verstikking door niet opgeblazen of geknapte ballonnen. Toezicht door volwassenen is vereist. Houd niet opgeblazen ballonnen buiten bereik van kinderen. Gooi kapotte ballonnen direct weg.
53,53,"Cooking, dining, leisure","Party, occasion",AH Beker multi colour,1.99,,,,,,,12 stuks,12 Aantal,,
54,54,"Cooking, dining, leisure","Party, occasion",AH Bellenblaas,0.65,,,,,,,per stuk,1 Stuks (piece),,
55,55,"Cooking, dining, leisure","Party, occasion",AH Bakje jungle,1.99,,,,,,,8 stuks,8 Aantal,,
56,56,"Cooking, dining, leisure","Party, occasion",AH Rietje 20cm,1.9,,,,,,,10 stuks,10 Stuks (piece),,
57,57,"Cooking, dining, leisure","Party, occasion","Vanka-Kawat Satestokjes 17,5 cm",0.45,,,,,,,100 stuks,100 Stuks (piece),,
58,58,"Cooking, dining, leisure","Party, occasion",AH Houten lepel,1.19,,,,,,,20 stuks,20 Aantal,,
59,59,"Cooking, dining, leisure","Party, occasion",AH Servet blad 33cm,1.99,,,,,,,20 stuks,20 Aantal,,
60,60,"Cooking, dining, leisure","Party, occasion",AH Glas facet 240 ml,3.29,,,,,,,10 stuks,10 Aantal,,voor eenmalig gebruik
61,61,"Cooking, dining, leisure","Party, occasion",AH Bakje smile,1.99,,,,,,,8 stuks,8 Aantal,,
62,62,"Cooking, dining, leisure","Party, occasion",AH Houten roerstaafjes,0.95,,,,,,,100 stuks,100 Aantal,,
63,63,"Cooking, dining, leisure","Party, occasion",AH Kartonnen rietjes,1.39,,,,,,,50 stuks,50 Stuks (piece),,
64,64,"Cooking, dining, leisure","Party, occasion",AH Houten mes,1.19,,,,,,,20 stuks,20 Aantal,,
65,65,"Cooking, dining, leisure","Party, occasion",AH Party cups,2.19,,,,,,,15 stuks,15 Aantal,,
66,66,"Cooking, dining, leisure","Party, occasion",AH Sateprikkers bamboe 20cm,0.99,,,,,,,100 stuks,100 Aantal,,
67,67,"Cooking, dining, leisure","Party, occasion",Hoomark 3-pak Inpakpapier,1.59,,,,,,,3 rollen,3 Stuks (piece),,
68,68,"Cooking, dining, leisure","Party, occasion",AH Wijnglas facet,2.49,,,,,,,10 stuks,,,
69,69,"Cooking, dining, leisure","Party, occasion",AH Houten vork,1.19,,,,,,,20 stuks,20 Aantal,,
70,70,"Cooking, dining, leisure","Party, occasion",AH Gebaksbord 15 cm,1.29,,,,,,,20 stuks,20 Aantal,,voor eenmalig gebruik
71,71,"Cooking, dining, leisure","Party, occasion",AH Cocktailprikkers 200 stuks,1.29,,,,,,,2 stuks,400 Aantal,,
72,72,"Cooking, dining, leisure","Party, occasion",AH Champagneglas plastic,3.29,,,,,,,6 stuks,6 Aantal,,
73,73,"Cooking, dining, leisure","Party, occasion",AH Bord 23 cm,1.79,,,,,,,20 stuks,20 Stuks (piece),,
74,74,"Cooking, dining, leisure","Party, occasion",AH Tapasprikkers 18 cm,1.99,,,,,,,50 stuks,50 Aantal,,
75,75,"Cooking, dining, leisure","Party, occasion",AH Kartonnen beker wit,1.65,,,,,,,30 stuks,30 Aantal,,
76,76,"Cooking, dining, leisure",Cooking,Farmlight Aanmaakgel bio,2.99,,,,,,,"1 lPrijs per LT € 2,99",1 Liter,,"Beschermende handschoenen/beschermende kleding/
oogbescherming/gelaatsbescherming dragen."
77,78,"Cooking, dining, leisure",Cooking,AH Beukenhouten pollepels,1.79,,,,,,,2 stuks,2 Aantal,,
78,79,"Cooking, dining, leisure",Cooking,AH Servet panter 33cm,1.99,,,,,,,20 stuks,20 Aantal,,
79,80,"Cooking, dining, leisure",Cooking,AH Bewaardoos 0.25ltr vierkant,2.49,,,,,,,4 stuks,4 Aantal,,
80,81,"Cooking, dining, leisure",Cooking,AH Servet smile 33cm,1.99,,,,,,,20 stuks,20 Aantal,,
81,82,"Cooking, dining, leisure",Cooking,AH Bewaardoos 0.45ltr vierkant,2.99,,,,,,,4 stuks,4 Aantal,,
82,83,"Cooking, dining, leisure",Cooking,"AH Bewaardoos 1,2 l vierkant",3.29,,,,,,,3 stuks,3 Aantal,,
83,84,"Cooking, dining, leisure",Cooking,AH Papieren cupcake vorm,1.79,,,,,,,100 stuks,100 Aantal,,
84,85,"Cooking, dining, leisure",Cooking,AH Spuitzak met 3 kunststofmondjes,1.49,,,,,,,per stuk,1 Aantal,,
85,86,"Cooking, dining, leisure",Cooking,AH Servet earthy champ,1.69,,,,,,,20 stuks,20 Aantal,,
86,87,"Cooking, dining, leisure",Cooking,AH Servet donkerblauw,1.69,,,,,,,20 stuks,20 Aantal,,
87,88,"Cooking, dining, leisure",Cooking,AH Servetten wit 3-laags,1.29,,,,,,,20 stuks,20 Aantal,,
88,89,"Cooking, dining, leisure",Cooking,AH Aanmaakblokjes zak,1.29,,,,,,,72 stuks,1 Stuks (piece),,
89,90,"Cooking, dining, leisure",Cooking,AH Aanmaakblokjes wit,1.19,,,,,,,32 stuks,32 Aantal,,WAARSCHUWING
90,91,"Cooking, dining, leisure",Cooking,AH Servetten 2-laags 33x33 cm wit,1.99,,,,,,,50 stuks,50 Aantal,,
91,92,"Cooking, dining, leisure",Cooking,AH Servet wit 1 laags,0.99,,,,,,,100 stuks,100 Aantal,,
92,93,Pets,Rodents,Vitakraft Krcker mix knaagdier honig gemus citrus,3.99,,,,,,,"168 gPrijs per KG € 23,75",168 Gram,,
93,94,Pets,Rodents,Vitakraft Houtvezel voor kleine dieren,1.55,,,,,,,"15 lPrijs per LT € 0,10",15 Liter,,
94,95,Pets,Rodents,Vitakraft Comfort golden natuurlijk stro,1.99,,,,,,,"1 kgPrijs per KG € 1,99",1 Kilogram,,
95,96,Pets,Rodents,Vitakraft Menu vital hamster,2.69,,,,,,,"400 gPrijs per KG € 6,73",400 Gram,,
96,97,Pets,Rodents,Vitakraft Kracker konijn groente noten bosbessen,4.9,,,,,,,"3 stuksPrijs per KG € 24,35",168 Gram,,
97,98,Pets,Rodents,Vitakraft Menu vital cavia,4.9,,,,,,,"1 kgPrijs per KG € 4,09",1 Kilogram,,
98,99,Pets,Rodents,Vitakraft Menu vital dwergkonijnen,4.65,,,,,,,"1 kgPrijs per KG € 4,65",1 Kilogram,,
99,100,Pets,Rodents,Vitakraft Alpen weidehooi,2.19,,,,,,,"1 kgPrijs per KG € 2,19",1 Kilogram,,
100,101,Pets,Cats,Perfect fit Adult 1+ zalm,5.69,,,,,,,"750 gPrijs per KG € 7,59",750 Gram,,
101,102,Pets,Cats,Sheba Finesse mousse-zachte pate zalm,0.75,,,,,,,"85 gPrijs per KG € 8,82",85 Gram,,
102,103,Pets,Cats,Gourmet Gold mousse met rund,0.75,,,,,,,"85 gPrijs per KG € 8,82",85 Gram,,"Ingrediënten: Vlees en dierlijke bijproducten (57% waarvan rund 4%), mineralen, plantaardige bijproducten, suiker"
103,104,Pets,Cats,Whiskas Kattenmelk voordeelverpakking,3.49,,,,,,,"3 x 200 mlPrijs per LT € 5,82",3 Stuks (piece). 600 Milliliter,,Goed schudden voor gebruik.
104,105,Pets,Cats,Whiskas Sticks zalm kattensnacks,1.19,,,,,,,"18 gPrijs per KG € 66,11",3 Stuks (piece). 18 Gram,,
105,106,Pets,Cats,Sheba Dlices du jour in saus kip & kalkoen,3.19,,,,,,,"6 x 50 gPrijs per KG € 10,63",6 Stuks (piece). 300 Gram,,
106,107,Pets,Cats,AH Pat met vis,0.89,,1.0,,,,1.0,"400 gPrijs per KG € 2,23",400 Gram,,Geproduceerd in: Frankrijk
107,111,Pets,Cats,Sheba Filets kip met garnalen en zeevis,1.49,,,,,,,"60 gPrijs per KG € 24,83",60 Gram,,
108,112,Pets,Cats,Sheba Mini filets n saus kip & kalkoen,0.89,,,,,,,"85 gPrijs per KG € 10,47",85 Gram,,
109,113,Pets,Cats,Vitakraft Liquid snack zalm & omega,3.19,,,,,,,"6 stuksPrijs per KG € 35,44",90 Gram,,
110,114,Pets,Cats,AH Pak maaltijdzak vlees saus,1.89,,,,,,,"600 gPrijs per KG € 3,15",600 Gram,,Geproduceerd in: EUCZ801055-02
111,115,Pets,Cats,AH Brok adult rund,2.99,,,,,,,"2 kgPrijs per KG € 1,50",2 Kilogram,,Geproduceerd in: NederlandNL93128
112,116,Pets,Cats,AH Pat met rund,0.89,,,,,,,"400 gPrijs per KG € 2,23",400 Gram,,Geproduceerd in: Frankrijk
113,117,Pets,Cats,Gourmet Gold hartig torentje kip wortel,0.75,,,,,,,"85 gPrijs per KG € 8,82",85 Gram,,"Ingrediënten: Vlees en dierlijke bijproducten (waarvankip 4%), plantaardige eiwitextracten, vis en visbijproducten, plantaardige bijproducten, groenten (1% gedehydreerde wortelen, gelijkwaardig aan 9% wortelen), mineralen, suiker"
114,119,Pets,Cats,Whiskas Temptations kip & kaas kattensnacks,1.69,,,,,,,"60 gPrijs per KG € 28,17",60 Gram,,
115,120,Pets,Cats,Perfect fit Senior 7+ kip,5.19,,,,,,,"750 gPrijs per KG € 6,92",750 Gram,,
116,121,Pets,Cats,AH Pat met kip,0.89,,,,,,,"400 gPrijs per KG € 2,23",400 Gram,,Geproduceerd in: Frankrijk
117,122,Pets,Cats,Sheba Filets fijne kipreepjes,1.49,,,,,,,"60 gPrijs per KG € 24,83",60 Gram,,
118,123,Pets,Cats,Gourmet Gold met tonijn in saus,0.79,,,,,,,"85 gPrijs per KG € 9,29",85 Gram,,"Ingrediënten: Vlees en dierlijke bijproducten, plantaardige eiwitextracten, vis en visbijproducten (waarvan tonijn 4%), plantaardige bijproducten, mineralen, suiker"
119,125,Pets,Cats,AH Alu pate konijn,0.25,,,,,,,"100 gPrijs per KG € 2,50",100 Gram,,Geproduceerd in: NederlandPDV 113670
120,126,Pets,Cats,Gourmet Gold mousse met kip,0.69,,,,,,,"85 gPrijs per KG € 8,12",85 Gram,,"Ingrediënten: Vlees en dierlijke bijproducten (58% waarvan kip 12%), mineralen, plantaardige bijproducten, suiker"
121,127,Pets,Cats,Sheba Filets kip met duurzame tonijn,1.49,,,,,,,"60 gPrijs per KG € 24,83",60 Gram,,
122,128,Pets,Cats,Gourmet Gold kattenvoer voordeelpakket,4.5,,,,,,,per pakket,,,
123,129,Pets,Cats,Gourmet Gold mousse met kalkoen,0.79,,,,,,,"85 gPrijs per KG € 9,29",85 Gram,,"Ingrediënten: Vlees en dierlijke bijproducten (57% waarvan kalkoen 4%), mineralen, plantaardige bijproducten, suiker"
124,130,Pets,Cats,AH Alu pate gevogelte,0.25,,,,,,,"100 gPrijs per KG € 2,50",100 Gram,,Geproduceerd in: NederlandPDV 113670
125,131,Pets,Cats,Catsan Hygiene plus kattenbakkorrels,7.19,,,,,,,"11,5 lPrijs per LT € 0,63",5569 Gram. 11.5 Liter,,
126,132,Pets,Cats,Gourmet Gold mousse met tonijn,0.79,,,,,,,"85 gPrijs per KG € 9,29",85 Gram,,"Ingrediënten: Vlees en dierlijke bijproducten, vis en visbijproducten (tonijn 4%), mineralen, plantaardige bijproducten, suiker"
127,133,Pets,Cats,AH Alu pate rund,0.25,,,,,,,"100 gPrijs per KG € 2,50",100 Gram,,Geproduceerd in: NederlandPDV 113670
128,134,Pets,Cats,AH Kattenbak houtkorrels,5.99,,,,,,,"10 lPrijs per LT € 0,60",10 Liter,,"1. Vul een schone, droge kattenbak met een laag van ca. 7 cm kattenbakvulling.
2. Schep de uitwerpselen regelmatig uit de kattenbak, schud de bak op en vul de bak bij.
3. Verschoon de bak minimaal 1x per week voor een optimale hygiëne. Je kunt de schone en droge kattenbakkorrels tijdens het schoonmaken in een emmertje of krant doen en daarna weer terug in de schoongemaakte, droge kattenbak plaatsen. Vul de bak weer tot een laag van ca. 7 cm, zodat uw kat op een natuurlijke wijze de uitwerpselen kan bedekken.
4. Niet door het toilet spoelen, maar leeg de kattenbak in de afval- of GFT-container. De vulling is 100% afbreekbaar en kan na gebruik in de meeste gemeentes bij het GFT-afval gedaan worden. Bij twijfel adviseren wij contact op te nemen met uw gemeente.

Suggesties:
- Als je een nieuwe soort kattenbakvulling gaat gebruiken, meng deze dan eerst 2x met je oude vulling om je kat te laten wennen.
- Je kat houdt van privacy. Zet de bak daarom op een rustige plaats.
- Als je meerdere katten hebt is het raadzaam om meer dan één bak te gebruiken."
129,135,Pets,Cats,Gourmet Gold mousse zalm kattenvoer nat,0.79,,,,,,,"85 gPrijs per KG € 9,29",85 Gram,,"Ingrediënten: Vlees en dierlijke bijproducten, vis en visbijproducten (zalm 4%), mineralen, plantaardige bijproducten, suiker"
130,136,Pets,Cats,AH Kattenbakkorrels sensitive,3.89,,,,,,,"10 lPrijs per LT € 0,39",10 Liter,,"1.Vul een schone, droge kattenbak met een laag korrels van ca. 5 cm kattenbakvulling. 
2. Schep de uitwerpselen regelmatig uit de kattenbak, schud de bak op en vul de bak bij. 
3. Verschoon de bak minimaal 1x per week voor een optimale hygiëne. Je kunt de schone en droge kattenbakkorrels tijdens het schoonmaken in een emmertje of krant doen en daarna weer terug in de schoongemaakte, droge kattenbak plaatsen. Vul de bak weer tot een laag van ca. 5 cm, zodat je kat op een natuurlijke wijze zijn uitwerpselen kan bedekken. 
4. Niet door het toilet spoelen, maar leeg de kattenbak in de afvalcontainer. 

Suggesties:
Als je een nieuwe soort kattenbakvulling gaat gebruiken, meng deze dan eerst 2x met je oude vulling om je kat te laten wennen.
Je kat houdt van privacy. Zet de bak daarom op een rustige plaats.
Als je meerdere katten hebt is het raadzaam om meer dan een bak te gebruiken."
131,137,Pets,Cats,AH Schep & schoon fijn,3.19,,,,,,,"6 lPrijs per LT € 0,53",6 Liter,,"1. Vul een schone, droge kattenbak met een laag van ca. 5 cm AH Schep & schoon fijn kattenbakvulling. Door de fijne structuur nemen de absorberende kleikorreltjes direct de plasjes en uitwerpselen van je kat op. Zo ontstaan compacte klontjes, waarin onaangename geurtjes onmiddellijk worden opgenomen.
2. Verwijder de klontjes 1x per dag met een zeefschepje uit de bak. Hierdoor blijft de bak hygiënisch fris.
3. Omdat je de klontjes er gemakkelijk uitschept, hoeft de bak in zijn geheel minder vaak verschoond te worden. Zo nodig bijvullen tot een laag van ca. 5 cm. Schud de bak even op. Zelfs met de fijne structuur van de korrels, stuift het product vrijwel niet wanneer je de bak vult.
4. Door het zuinige gebruik gaat AH Schep & Schoon fijn kattenbakvulling langer mee dan gewone korrels.
5. Niet door het toilet spoelen, maar leeg de kattenbak in de afvalcontainer.

Suggesties:
- Als je een nieuwe soort kattenbakvulling gaat gebruiken, meng deze dan eerst 2x met je oude vulling om je kat te laten wennen.
- Je kat houdt van privacy. Zet de bak daarom op een rustige plaats.
- Als je meerdere katten hebt, is het raadzaam om meer dan één bak te gebruiken."
132,138,Pets,Cats,AH Kattenmelk met omega-3,0.79,,,,,,,"250 mlPrijs per LT € 3,16",250 Milliliter,,Geproduceerd in: BelgiëErkenningsnummer fabrikant: PET 157
133,139,Pets,Cats,AH Alu pate zalm,0.25,,,,,,,"100 gPrijs per KG € 2,50",100 Gram,,Geproduceerd in: NederlandPDV 113670
134,140,Pets,Cats,Vitakraft Cat liquidsnack kip,3.19,,,,,,,"6 stuksPrijs per KG € 35,44",90 Gram,,
135,141,Pets,Cats,AH Schep en schoon 4 voudige hygiene,5.49,,,,,,,"6 lPrijs per LT € 0,92",6 Liter,,"1.Vul een schone, droge kattenbak met een laag van ca. 5 cm AH Schep & Schoon kattenbakvulling. Door de fijne structuur nemen de absorberende kleikorreltjes direct de plasjes en uitwerpselen van je kat op. Zo ontstaan compacte klontjes, waarin onaangename geurtjes van urine én ontlasting onmiddellijk worden opgenomen. 
2. Verwijder de klontjes 1x per dag met een zeefschepje uit de bak. Hierdoor blijft de bak hygiënisch fris. 
3. Omdat je de klontjes er gemakkelijk uitschept, hoeft de bak in zijn geheel minder vaak verschoond te worden. Zo nodig bijvullen tot een laag van ca. 5 cm. Schud de bak even op. Zelfs met de fijne structuur van de korrels, stuift het product vrijwel niet wanneer je de bak vult.
4. Door het zuinige gebruik gaat AH Schep & Schoon kattenbakvulling langer mee dan gewone korrels.
5. Niet door het toilet spoelen, maar leeg de kattenbak in de afvalcontainer.

Suggesties:
Als je een nieuwe soort kattenbakvulling gaat gebruiken, meng deze dan eerst 2x met je oude vulling om je kat te laten wennen.
Je kat houdt van privacy. Zet de bak daarom op een rustige plaats.
Als je meerdere katten hebt is het raadzaam om meer dan een bak te gebruiken."
136,142,Pets,Dogs,Naturo Turkey with fruit and vegetables,1.49,,,,,,,"390 gPrijs per KG € 3,82",390 Gram,,"kalkoen 50%, (2,4% van 0,81% kalkoenvlees poeder), wortel, broccoli, cranberries 8% (van 1% gedroogde fruit en groente), mineralen, zonnebloemolie 0,125%, zalmolie 0,06%, lijnzaadolie 0,06%, gedroogde zeewier, gedroogde peterselie, gedroogde cichoreiwortel, mannanoligosacchariden (prebiotisch MOS), gedroogde brandnetel, groene thee, gedroogde rozenbottel, glucosamine 0,005%), chondroïtinesulfaat 0,0025%, goudsbloem."
137,143,Pets,Dogs,"Naturo Duck with blueberries,pumpkin, courgette",1.49,,,,,,,"390 gPrijs per KG € 3,82",390 Gram,,"Eend 50%, groenten en fruit 8% (pompoen, courgette, bosbessen), mineralen, zonnebloemolie 0,13%, zalmolie 0,06%, lijnzaadolie 0,06%, gedroogde kelp, gedroogde rozemarijn, gedroogde cichoreiwortel, Mannanoligosacchariden (prebiotische MOS), gedroogde brandnetel, groene thee, gedroogd Rozenbottel, Glucosamine 0,0025%, chondroïtinesulfaat 0,00125%, Goudsbloem"
138,144,Pets,Dogs,Rodi Worst Lam met Rijst,1.79,,,,,,,"400 gPrijs per KG € 4,48",400 Gram,,"Ingrediënten: Vlees en dierlijke bijproducten (75%, 35% lam), granen (6% rijst), oliën en vetten (1,5% schapenvet), mineralen"
139,145,Pets,Dogs,Pedigree Dentastix klein,7.79,,,,,,,"28 stuksPrijs per KG € 17,70",28 Stuks (piece). 440 Gram,,
140,146,Pets,Dogs,Pedigree Dentastix groot,3.9,,,,,,,"270 gPrijs per KG € 11,44",7 Stuks (piece). 270 Gram,,Bovenkant zakje omvouwen en dichtplakken met de sticker.
141,147,Pets,Dogs,Pedigree Dentastix gebit kauwsnack kleine hond,1.99,,,,,,,"110 gPrijs per KG € 18,09",7 Stuks (piece). 110 Gram,,Bovenkant zakje omvouwen en dichtplakken met de sticker.
142,148,Pets,Dogs,Pedigree Dentastix gebit kauwsnack medium hond,2.39,,,,,,,"180 gPrijs per KG € 13,28",7 Stuks (piece). 180 Gram,,Bovenkant zakje omvouwen en dichtplakken met de sticker.
143,149,Pets,Dogs,AH Dental sticks,0.59,,,,,,,"110 gPrijs per KG € 5,36",110 Gram,,Geproduceerd in: Duitsland
144,150,Pets,Dogs,AH Twister snacks kip met vis,2.59,,,,,,,"100 gPrijs per KG € 25,90",100 Gram,,
145,151,Pets,Dogs,Rodi Lam met Rijst - Huid & Vacht,1.89,,,,,,,"400 gPrijs per KG € 4,73",400 Gram,,"Ingrediënten: Lam (76%) (lamsvlees, lamslong, lamspens, lamshart), gewelde gepofte rijst (15%), schapenvet (6%), vitamine - en mineralenmix"
146,152,Pets,Dogs,AH Brokken wild gevogelte,1.55,,,,,,,"1,24 kgPrijs per KG € 1,25",1240 Gram,,Geproduceerd in: NederlandNL13166
147,153,Pets,Dogs,Naturo Zalm en aardappel voor de hond,1.75,,,,,,,"400 gPrijs per KG € 4,38",400 Gram,,"Zalm 60%, Aardappelen 26%, Wortelen 5%, Erwten 5%, Mineralen, Zonnebloemolie,
Zalmolie, Gedroogde Tomaat, Gedroogde Zeewier, Gedroogde Basilicum"
